SID,Account Name,rlp_companyid,Province,Division,Total Total Agents,Total Months Live,Total Agents Logged In - All Time,Avg Agent Login % - All Time,Total Agents Logged in Last  30 Days,Avg Agent Login KPI %,Total Agents Ever Importing Contacts,Avg Agent Imported KPI %,Total Agents Sending 30+ Comms,Avg Agent Engagement KPI %,Total Agents Adding 10+ New Contacts,Avg New Contacts KPI %,Agents Starting ASP,% Agents Starting Success Plan,Agents Completing ASP,% Agents Completing Success Plan,Total Cases Created Last 30 Days,Total Cases Closed Last 30 Days,Total 1st Resp Time (Mins) Last 30 Days,Total 4/5 Star % Last 30 Days,Avg Handle Time (Mins) Last 30 Days,Total Total Contacts Added,Total Contacts with Search Alerts,Total Contacts with Market Reports,Total Emails Sent All Time,Total Texts Sent All Time,Total Calls Made All Time,Total Communications Sent,Communications Sent / Agent / Month,Total Property Views All Time,Total Leads From Websites All Time,Total Leads From Websites - Last 30 Days,Total Agent Logins 2023,Total Agent Login % - All Time 2023,Total Contacts on Campaigns NEW,Total Contacts Added - CRM
SID-18990,Royal LePage Signature Realty,275,ON,D5,1563,40,1019,0.65,433,0.28,231,0.15,94,0.06,48,0.03,306,19.60%,41,2.60%,,,,,,266815,13580,4228,5256347,114488,33154,5403989,86.44,138109,12146,848,719,0.46,27888,252481
SID-21015,Royal LePage Real Estate Services LTD,1,ON,D5,1229,40,873,0.71,314,0.26,108,0.09,44,0.04,21,0.02,180,14.60%,38,3.10%,,,,,,149118,8120,938,1104252,34302,4816,1143370,23.26,70659,6613,330,606,0.49,26837,144065
SID-18752,Royal LePage Your Community Realty,106,ON,D5,1096,40,673,0.61,221,0.2,64,0.06,23,0.02,14,0.01,91,8.30%,12,1.10%,,,,,,73523,20838,1640,1609898,20068,7092,1637058,37.34,71966,5073,171,454,0.41,12036,70641
SID-18904,Royal LePage Team Realty,1241,ON,D5,588,40,480,0.82,252,0.43,93,0.16,38,0.06,17,0.03,94,16.00%,22,3.70%,0,0,,,,99567,7191,301,719871,9199,2525,731595,31.11,39949,7704,485,383,0.65,10497,76915
SID-18869,Royal LePage Terrequity Realty,10053,ON,D5,540,40,372,0.69,168,0.31,39,0.07,24,0.04,12,0.02,46,8.50%,9,1.70%,,,,,,48157,5776,917,853144,16736,10459,880339,40.76,53781,4304,138,272,0.5,15243,44413
SID-18738,Royal LePage Atlantic,16,NB,D5,512,40,456,0.89,242,0.47,151,0.29,61,0.12,26,0.05,102,19.90%,11,2.10%,,,,,,137486,25842,953,1051307,26694,17337,1095338,53.48,140004,13870,606,394,0.77,21718,125226
SID-18929,Royal LePage Flower City Realty,10038,ON,D5,416,40,189,0.45,73,0.18,16,0.04,13,0.03,10,0.02,47,11.30%,4,1.00%,,,,,,65767,1882,476,16947832,175196,2960,17125988,1029.21,13409,1285,49,120,0.29,3797,64606
SID-18749,Royal LePage NRC Realty,93,ON,D5,375,40,330,0.88,159,0.42,62,0.17,14,0.04,10,0.03,110,29.30%,23,6.10%,0,0,,,,74019,8606,317,762206,29452,3261,794919,52.99,85045,8171,152,253,0.67,7283,66802
SID-18799,Royal LePage ProAlliance Realty,95,ON,D5,328,40,290,0.88,184,0.56,49,0.15,28,0.09,18,0.05,79,24.10%,13,4.00%,,,,,,83449,8382,366,690810,19442,3103,713355,54.37,63722,8711,276,244,0.74,7167,72316
SID-18802,Royal LePage RCR Realty,98,ON,D5,319,40,244,0.76,93,0.29,23,0.07,5,0.02,2,0.01,56,17.60%,11,3.40%,0,0,,,,47282,1619,346,338446,10062,1517,350025,27.43,21971,1300,4,155,0.49,7047,41893
SID-18858,Royal LePage Kelowna,156,BC,D5,290,40,246,0.85,130,0.45,33,0.11,16,0.06,5,0.02,55,19.00%,8,2.80%,0,0,,,,41055,5583,268,558704,12387,2559,573650,49.45,75243,6114,91,202,0.7,6561,38738
SID-18754,Royal LePage State Realty,100,ON,D5,271,40,201,0.74,83,0.31,26,0.1,11,0.04,5,0.02,53,19.60%,10,3.70%,0,0,,,,23561,1860,175,256415,3862,671,260948,24.07,21783,1657,19,147,0.54,5326,21697
SID-18827,Royal LePage Performance Realty,1240,ON,D5,252,40,216,0.86,110,0.44,43,0.17,18,0.07,9,0.04,103,40.90%,28,11.10%,0,0,,,,53095,5446,389,657516,12630,2162,672308,66.7,52274,5025,84,167,0.66,8270,43227
SID-18755,Royal LePage Triland Realty,101,ON,D4,248,40,245,0.99,100,0.4,41,0.17,21,0.08,17,0.07,88,35.50%,58,23.40%,0,0,,,,104776,9160,2100,1138648,32111,8762,1179521,118.9,75197,9431,174,168,0.68,15364,95311
